Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",30530,16017,14513,2013
Degrees/certificates total,Natural Resources and Conservation,23613,12619,10994,2013
Degrees/certificates total,Architecture and Related Services,19035,10548,8487,2013
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",12272,3765,8507,2013
Degrees/certificates total,"Communication, Journalism, and Related Programs",100482,35974,64508,2013
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13874,9362,4512,2013
Degrees/certificates total,Computer and Information Sciences and Support Services,140655,109231,31424,2013
Degrees/certificates total,Personal and Culinary Services,54009,18019,35990,2013
Degrees/certificates total,Education,327669,71363,256306,2013
Degrees/certificates total,Engineering,141555,112354,29201,2013
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,80615,70223,10392,2013
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",30518,9382,21136,2013
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,53399,5338,48061,2013
Degrees/certificates total,Legal Professions and Studies,76804,32987,43817,2013
Degrees/certificates total,English Language and Literature/Letters,67292,21507,45785,2013
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",428956,164544,264412,2013
Degrees/certificates total,Library Science,7875,1436,6439,2013
Degrees/certificates total,Biological and Biomedical Sciences,127217,52848,74369,2013
Degrees/certificates total,Mathematics and Statistics,31393,18531,12862,2013
Degrees/certificates total,Military Technologies and Applied Sciences,1166,891,275,2013
Degrees/certificates total,Multi/Interdisciplinary Studies,88050,31300,56750,2013
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",55730,30450,25280,2013
Degrees/certificates total,Philosophy and Religious Studies,16048,10278,5770,2013
Degrees/certificates total,Theology and Religious Vocations,28310,18858,9452,2013
Degrees/certificates total,Physical Sciences,44286,27327,16959,2013
Degrees/certificates total,Science Technologies/Technicians,4214,2726,1488,2013
Degrees/certificates total,Psychology,156603,35961,120642,2013
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",147958,84643,63315,2013
Degrees/certificates total,Public Administration and Social Service Professions,88202,18810,69392,2013
Degrees/certificates total,Social Sciences,181938,86703,95235,2013
Degrees/certificates total,Construction Trades,22872,21905,967,2013
Degrees/certificates total,Mechanic and Repair Technologies/Technicians,77778,73781,3997,2013
Degrees/certificates total,Precision Production,27857,26274,1583,2013
Degrees/certificates total,Transportation and Materials Moving,23647,20914,2733,2013
Degrees/certificates total,Visual and Performing Arts,153519,61479,92040,2013
Degrees/certificates total,Health Professions and Related Programs,814238,151179,663059,2013
Degrees/certificates total,"Business, Management, Marketing, and Related Support Services",737199,355130,382069,2013
Degrees/certificates total,History,40368,23933,16435,2013
Degrees/certificates total,"Agriculture, Agriculture Operations and Related Sciences",31664,16262,15402,2014
Degrees/certificates total,Natural Resources and Conservation,24052,12660,11392,2014
Degrees/certificates total,Architecture and Related Services,18392,10020,8372,2014
Degrees/certificates total,"Area, Ethnic, Cultural, Gender, and Group Studies",11896,3622,8274,2014
Degrees/certificates total,"Communication, Journalism, and Related Programs",105119,37413,67706,2014
Degrees/certificates total,Communications Technologies/Technicians and Support Services,13644,9116,4528,2014
Degrees/certificates total,Computer and Information Sciences and Support Services,150136,116241,33895,2014
Degrees/certificates total,Personal and Culinary Services,48644,15189,33455,2014
Degrees/certificates total,Education,313525,68384,245141,2014
Degrees/certificates total,Engineering,151012,119238,31774,2014
Degrees/certificates total,Engineering Technologies and Engineering-related Fields,81019,70579,10440,2014
Degrees/certificates total,"Foreign Languages, Literatures, and Linguistics",29331,8882,20449,2014
Degrees/certificates total,Family and Consumer Sciences/Human Sciences,53554,5236,48318,2014
Degrees/certificates total,Legal Professions and Studies,72993,31561,41432,2014
Degrees/certificates total,English Language and Literature/Letters,64633,20612,44021,2014
Degrees/certificates total,"Liberal Arts and Sciences, General Studies and Humanities",442315,169914,272401,2014
Degrees/certificates total,Library Science,6793,1201,5592,2014
Degrees/certificates total,Biological and Biomedical Sciences,133077,55467,77610,2014
Degrees/certificates total,Mathematics and Statistics,32749,19353,13396,2014
Degrees/certificates total,Military Technologies and Applied Sciences,1362,1127,235,2014
Degrees/certificates total,Multi/Interdisciplinary Studies,89747,32681,57066,2014
Degrees/certificates total,"Parks, Recreation, Leisure and Fitness Studies",60693,33106,27587,2014
Degrees/certificates total,Philosophy and Religious Studies,15436,9751,5685,2014
Degrees/certificates total,Theology and Religious Vocations,28663,18973,9690,2014
Degrees/certificates total,Physical Sciences,46474,28603,17871,2014
Degrees/certificates total,Science Technologies/Technicians,4547,2814,1733,2014
Degrees/certificates total,Psychology,161521,36864,124657,2014
Degrees/certificates total,"Homeland Security, Law Enforcement, Firefighting, and Related Protective Service",149439,86043,63396,2014
Degrees/certificates total,Public Administration and Social Service Professions,91466,19247,72219,2014
Degrees/certificates total,Social Sciences,181733,87151,94582,2014
Degrees/certificates total,Construction Trades,23438,22302,1136,2014
